,Region,Subregion,StationID,Turnout,Percentage
57,Республика Адыгея (Адыгея),Красногвардейская,УИК №58,0.9019699812382739,0.8075923036921477
58,Республика Адыгея (Адыгея),Красногвардейская,УИК №59,0.9943630214205186,0.9625850340136054
59,Республика Адыгея (Адыгея),Красногвардейская,УИК №60,0.8836967808930426,0.8566392479435958
60,Республика Адыгея (Адыгея),Красногвардейская,УИК №61,0.6713147410358565,0.879080118694362
61,Республика Адыгея (Адыгея),Красногвардейская,УИК №62,0.944794952681388,0.8647746243739566
62,Республика Адыгея (Адыгея),Красногвардейская,УИК №63,0.898876404494382,0.8166666666666667
63,Республика Адыгея (Адыгея),Красногвардейская,УИК №64,0.896551724137931,0.8479020979020979
64,Республика Адыгея (Адыгея),Красногвардейская,УИК №65,0.9090909090909091,0.8607142857142858
65,Республика Адыгея (Адыгея),Красногвардейская,УИК №66,0.9226804123711341,0.8743016759776536
66,Республика Адыгея (Адыгея),Красногвардейская,УИК №67,1.0,0.9435600578871202
67,Республика Адыгея (Адыгея),Красногвардейская,УИК №68,0.9192618223760092,0.8406524466750314
68,Республика Адыгея (Адыгея),Красногвардейская,УИК №69,0.9185667752442996,0.7659574468085106
69,Республика Адыгея (Адыгея),Красногвардейская,УИК №70,0.7116465863453815,0.8047404063205418
70,Республика Адыгея (Адыгея),Красногвардейская,УИК №71,0.9567901234567902,0.8
71,Республика Адыгея (Адыгея),Красногвардейская,УИК №72,1.0,0.8758620689655172
72,Республика Адыгея (Адыгея),Красногвардейская,УИК №73,0.9944495837187789,0.933953488372093
73,Республика Адыгея (Адыгея),Майкопская,УИК №74,0.6455938697318008,0.6965875370919882
74,Республика Адыгея (Адыгея),Майкопская,УИК №75,0.609995537706381,0.7081199707388441
75,Республика Адыгея (Адыгея),Майкопская,УИК №76,0.7350729765590447,0.7316486161251504
76,Республика Адыгея (Адыгея),Майкопская,УИК №77,0.7025371828521435,0.7254047322540473
77,Республика Адыгея (Адыгея),Майкопская,УИК №78,0.6736214605067065,0.7853982300884956
78,Республика Адыгея (Адыгея),Майкопская,УИК №79,0.683982683982684,0.769620253164557
79,Республика Адыгея (Адыгея),Майкопская,УИК №80,0.6187793427230047,0.7845220030349014
80,Республика Адыгея (Адыгея),Майкопская,УИК №81,0.5848563968668408,0.7734375
81,Республика Адыгея (Адыгея),Майкопская,УИК №82,0.564176245210728,0.7283531409168081
82,Республика Адыгея (Адыгея),Майкопская,УИК №83,0.6432432432432432,0.8487394957983193
83,Республика Адыгея (Адыгея),Майкопская,УИК №84,0.6519861830742659,0.7748344370860927
84,Республика Адыгея (Адыгея),Майкопская,УИК №85,0.6018306636155606,0.8365019011406845
85,Республика Адыгея (Адыгея),Майкопская,УИК №86,0.6173913043478261,0.8204225352112676
86,Республика Адыгея (Адыгея),Майкопская,УИК №87,0.6256880733944954,0.7390029325513197
87,Республика Адыгея (Адыгея),Майкопская,УИК №88,0.57625,0.7082429501084598
88,Республика Адыгея (Адыгея),Майкопская,УИК №89,0.5295698924731183,0.7715736040609137
89,Республика Адыгея (Адыгея),Майкопская,УИК №90,0.585,0.7655677655677655
