,Region,Subregion,StationID,Turnout,Percentage
0,Ненецкий автономный округ,Нарьян-Марская,УИК №41,0.5507726269315674,0.7294589178356713
1,Ненецкий автономный округ,Нарьян-Марская,УИК №42,0.5838739573679332,0.7158730158730159
2,Ненецкий автономный округ,Нарьян-Марская,УИК №43,0.5724489795918367,0.714795008912656
3,Ненецкий автономный округ,Нарьян-Марская,УИК №44,0.5754310344827587,0.7116104868913857
4,Ненецкий автономный округ,Нарьян-Марская,УИК №45,0.5838103025347506,0.6834733893557423
5,Ненецкий автономный округ,Нарьян-Марская,УИК №46,0.7454764776839565,0.7330097087378641
6,Ненецкий автономный округ,Нарьян-Марская,УИК №47,0.5814709467696059,0.7393431167016072
7,Ненецкий автономный округ,Нарьян-Марская,УИК №48,0.660253164556962,0.7208588957055214
8,Ненецкий автономный округ,Нарьян-Марская,УИК №49,0.5629017447199265,0.6982055464926591
9,Ненецкий автономный округ,Нарьян-Марская,УИК №50,0.6137381781981085,0.7096512570965126
10,Ненецкий автономный округ,Нарьян-Марская,УИК №51,0.6451169188445667,0.6865671641791045
11,Ненецкий автономный округ,Заполярная,УИК №1,0.6529850746268657,0.8514285714285714
12,Ненецкий автономный округ,Заполярная,УИК №2,0.6888888888888889,0.9354838709677419
13,Ненецкий автономный округ,Заполярная,УИК №3,0.6951219512195121,0.8421052631578947
14,Ненецкий автономный округ,Заполярная,УИК №4,0.5348623853211009,0.7530017152658662
15,Ненецкий автономный округ,Заполярная,УИК №5,0.5684523809523809,0.7329842931937173
16,Ненецкий автономный округ,Заполярная,УИК №6,0.6944444444444444,0.84
17,Ненецкий автономный округ,Заполярная,УИК №7,0.5887681159420289,0.8092307692307692
18,Ненецкий автономный округ,Заполярная,УИК №8,0.6,0.8666666666666667
19,Ненецкий автономный округ,Заполярная,УИК №9,0.6007604562737643,0.7658227848101266
20,Ненецкий автономный округ,Заполярная,УИК №10,0.5789473684210527,0.8787878787878788
21,Ненецкий автономный округ,Заполярная,УИК №11,0.44036697247706424,0.7916666666666666
22,Ненецкий автономный округ,Заполярная,УИК №12,0.34,0.8823529411764706
23,Ненецкий автономный округ,Заполярная,УИК №13,0.40540540540540543,0.8
24,Ненецкий автономный округ,Заполярная,УИК №14,0.5324947589098532,0.8779527559055118
25,Ненецкий автономный округ,Заполярная,УИК №15,0.4461538461538462,0.7931034482758621
26,Ненецкий автономный округ,Заполярная,УИК №16,0.5932721712538226,0.7577319587628866
27,Ненецкий автономный округ,Заполярная,УИК №17,0.46744186046511627,0.7960199004975125
28,Ненецкий автономный округ,Заполярная,УИК №18,0.40298507462686567,0.7407407407407407
29,Ненецкий автономный округ,Заполярная,УИК №19,0.5747126436781609,0.9
30,Ненецкий автономный округ,Заполярная,УИК №20,0.4117647058823529,0.7532467532467533
31,Ненецкий автономный округ,Заполярная,УИК №21,0.5609756097560976,0.6521739130434783
32,Ненецкий автономный округ,Заполярная,УИК №22,0.5195530726256983,0.7526881720430108
33,Ненецкий автономный округ,Заполярная,УИК №23,0.5242718446601942,0.8148148148148148
34,Ненецкий автономный округ,Заполярная,УИК №24,0.532258064516129,0.6727272727272727
35,Ненецкий автономный округ,Заполярная,УИК №25,0.6873614190687362,0.7806451612903226
36,Ненецкий автономный округ,Заполярная,УИК №26,0.4350282485875706,0.8441558441558441
37,Ненецкий автономный округ,Заполярная,УИК №27,0.42528735632183906,0.6486486486486487
38,Ненецкий автономный округ,Заполярная,УИК №28,0.588553750966744,0.7279894875164258
39,Ненецкий автономный округ,Заполярная,УИК №29,0.5632911392405063,0.8960674157303371
40,Ненецкий автономный округ,Заполярная,УИК №30,0.528169014084507,0.7733333333333333
41,Ненецкий автономный округ,Заполярная,УИК №31,0.4368131868131868,0.8301886792452831
42,Ненецкий автономный округ,Заполярная,УИК №32,0.6926503340757239,0.8392282958199357
43,Ненецкий автономный округ,Заполярная,УИК №33,0.540796963946869,0.8912280701754386
44,Ненецкий автономный округ,Заполярная,УИК №34,0.4701195219123506,0.7457627118644068
45,Ненецкий автономный округ,Заполярная,УИК №35,0.6224719101123596,0.9025270758122743
46,Ненецкий автономный округ,Заполярная,УИК №36,0.8078873239436619,0.6324965132496513
47,Ненецкий автономный округ,Заполярная,УИК №37,0.6697905181918412,0.6864197530864198
48,Ненецкий автономный округ,Заполярная,УИК №38,0.8440430705105939,0.6209876543209877
49,Ненецкий автономный округ,Заполярная,УИК №39,0.7156079091291544,0.689594356261023
50,Ненецкий автономный округ,Заполярная,УИК №40,0.7758037225042301,0.6406761177753544
