,Region,Subregion,StationID,Turnout,Percentage
0,Ненецкий автономный округ,Нарьян-Марская,УИК №41,0.6246089676746611,0.11352253756260434
1,Ненецкий автономный округ,Нарьян-Марская,УИК №42,0.5988538681948424,0.08931419457735247
2,Ненецкий автономный округ,Нарьян-Марская,УИК №43,0.636523266022827,0.09517241379310344
3,Ненецкий автономный округ,Нарьян-Марская,УИК №44,0.6067302862882974,0.11009933774834436
4,Ненецкий автономный округ,Нарьян-Марская,УИК №45,0.648741983226443,0.11178707224334601
5,Ненецкий автономный округ,Нарьян-Марская,УИК №46,0.9048305695746215,0.1649402390438247
6,Ненецкий автономный округ,Нарьян-Марская,УИК №47,0.6710758377425045,0.15243101182654403
7,Ненецкий автономный округ,Нарьян-Марская,УИК №48,0.585348997926745,0.1204250295159386
8,Ненецкий автономный округ,Нарьян-Марская,УИК №49,0.6218721037998146,0.11698956780923994
9,Ненецкий автономный округ,Нарьян-Марская,УИК №50,0.649028524183547,0.11847133757961784
10,Ненецкий автономный округ,Нарьян-Марская,УИК №51,0.5761772853185596,0.08653846153846154
11,Ненецкий автономный округ,Заполярного района,УИК №1,0.7375886524822695,0.0625
12,Ненецкий автономный округ,Заполярного района,УИК №2,0.7346938775510204,0.0
13,Ненецкий автономный округ,Заполярного района,УИК №3,0.6941176470588235,0.0
14,Ненецкий автономный округ,Заполярного района,УИК №4,0.4153846153846154,0.058823529411764705
15,Ненецкий автономный округ,Заполярного района,УИК №5,0.5506849315068493,0.06965174129353234
16,Ненецкий автономный округ,Заполярного района,УИК №6,0.704225352112676,0.0
17,Ненецкий автономный округ,Заполярного района,УИК №7,0.6226415094339622,0.05509641873278237
18,Ненецкий автономный округ,Заполярного района,УИК №8,0.654320987654321,0.018867924528301886
19,Ненецкий автономный округ,Заполярного района,УИК №9,0.48986486486486486,0.08620689655172414
20,Ненецкий автономный округ,Заполярного района,УИК №10,0.48214285714285715,0.018518518518518517
21,Ненецкий автономный округ,Заполярного района,УИК №11,0.375,0.020833333333333332
22,Ненецкий автономный округ,Заполярного района,УИК №12,0.46875,0.13333333333333333
23,Ненецкий автономный округ,Заполярного района,УИК №13,0.5135135135135135,0.0
24,Ненецкий автономный округ,Заполярного района,УИК №14,0.6186440677966102,0.05821917808219178
25,Ненецкий автономный округ,Заполярного района,УИК №15,0.5,0.013333333333333334
26,Ненецкий автономный округ,Заполярного района,УИК №16,0.562874251497006,0.0851063829787234
27,Ненецкий автономный округ,Заполярного района,УИК №17,0.5258964143426295,0.06818181818181818
28,Ненецкий автономный округ,Заполярного района,УИК №18,0.4794520547945205,0.05714285714285714
29,Ненецкий автономный округ,Заполярного района,УИК №19,0.63,0.031746031746031744
30,Ненецкий автономный округ,Заполярного района,УИК №20,0.4104803493449782,0.0425531914893617
31,Ненецкий автономный округ,Заполярного района,УИК №21,0.5319148936170213,0.08
32,Ненецкий автономный округ,Заполярного района,УИК №22,0.43722943722943725,0.019801980198019802
33,Ненецкий автономный округ,Заполярного района,УИК №23,0.5158730158730159,0.0
34,Ненецкий автономный округ,Заполярного района,УИК №24,0.5638629283489096,0.049723756906077346
35,Ненецкий автономный округ,Заполярного района,УИК №25,0.6276346604215457,0.06716417910447761
36,Ненецкий автономный округ,Заполярного района,УИК №26,0.42731277533039647,0.0
37,Ненецкий автономный округ,Заполярного района,УИК №27,0.6666666666666666,0.034482758620689655
38,Ненецкий автономный округ,Заполярного района,УИК №28,0.5610972568578554,0.06074074074074074
39,Ненецкий автономный округ,Заполярного района,УИК №29,0.5,0.03927492447129909
40,Ненецкий автономный округ,Заполярного района,УИК №30,0.5256410256410257,0.08536585365853659
41,Ненецкий автономный округ,Заполярного района,УИК №31,0.4945054945054945,0.10555555555555556
42,Ненецкий автономный округ,Заполярного района,УИК №32,0.5282651072124757,0.025830258302583026
43,Ненецкий автономный округ,Заполярного района,УИК №33,0.47217235188509876,0.11787072243346007
44,Ненецкий автономный округ,Заполярного района,УИК №34,0.49609375,0.07086614173228346
45,Ненецкий автономный округ,Заполярного района,УИК №35,0.7315436241610739,0.07339449541284404
46,Ненецкий автономный округ,Заполярного района,УИК №36,0.591254752851711,0.1045016077170418
47,Ненецкий автономный округ,Заполярного района,УИК №37,0.6122355105795768,0.09767092411720511
48,Ненецкий автономный округ,Заполярного района,УИК №38,0.6493395824456754,0.11811023622047244
49,Ненецкий автономный округ,Заполярного района,УИК №39,0.7742990654205607,0.09233554616777308
50,Ненецкий автономный округ,Заполярного района,УИК №40,0.8014705882352942,0.08868501529051988
